,,,,,,,,,,,,,,,,,,2-Pt Field Goals,,,,,3-Pt Field Goals,,
,,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,,Dunks,,Layups,,,Corner,
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,67,16280,.478,13.2,.639,.322,.152,.090,.075,.361,.542,.673,.389,.442,.413,.363,.482,.069,369,.303,1017,.826,.192,.373
2,Boston Celtics*,72,17430,.441,14.4,.601,.250,.186,.087,.078,.399,.508,.663,.399,.402,.391,.340,.479,.055,305,.275,895,.818,.198,.388
3,Brooklyn Nets*,72,17480,.446,14.2,.625,.241,.173,.117,.094,.375,.503,.650,.404,.433,.396,.350,.451,.049,282,.252,901,.777,.203,.358
4,Chicago Bulls,65,15675,.479,13.1,.617,.344,.147,.071,.055,.383,.557,.687,.369,.435,.401,.353,.564,.072,350,.310,957,.847,.249,.412
5,Charlotte Hornets,65,15750,.476,13.7,.599,.316,.150,.073,.060,.401,.558,.681,.408,.470,.398,.352,.550,.069,351,.295,955,.853,.250,.380
6,Cleveland Cavaliers,65,15725,.491,13.3,.631,.330,.148,.079,.075,.369,.558,.689,.421,.409,.406,.375,.514,.068,360,.281,989,.803,.232,.414
7,Dallas Mavericks*,75,18175,.458,13.8,.619,.274,.177,.092,.076,.381,.523,.670,.394,.416,.423,.351,.480,.059,360,.268,989,.790,.184,.388
8,Denver Nuggets*,73,17745,.463,13.7,.608,.294,.163,.087,.064,.392,.530,.678,.397,.402,.365,.358,.550,.069,391,.277,959,.829,.238,.403
9,Detroit Pistons,66,15965,.480,13.1,.661,.293,.193,.094,.081,.339,.541,.685,.415,.469,.409,.361,.507,.067,342,.288,931,.821,.216,.415
10,Golden State Warriors,65,15725,.476,14.2,.607,.262,.186,.089,.071,.393,.533,.693,.400,.421,.428,.389,.519,.066,338,.281,888,.830,.211,.452
11,Houston Rockets*,72,17380,.462,13.7,.617,.296,.164,.089,.067,.383,.532,.690,.386,.377,.402,.349,.516,.054,333,.294,1108,.798,.259,.345
12,Indiana Pacers*,73,17620,.446,13.8,.620,.300,.163,.082,.075,.380,.511,.625,.418,.403,.376,.341,.488,.058,337,.289,961,.821,.203,.349
13,Los Angeles Clippers*,72,17380,.438,14.5,.605,.260,.158,.100,.087,.395,.499,.660,.388,.394,.339,.345,.513,.051,298,.249,864,.795,.190,.368
14,Los Angeles Lakers*,71,17090,.448,14.0,.616,.280,.170,.086,.080,.384,.510,.656,.377,.396,.403,.349,.502,.064,342,.270,866,.828,.198,.390
15,Memphis Grizzlies,73,17570,.450,14.1,.609,.275,.152,.101,.081,.391,.504,.634,.391,.412,.390,.365,.514,.052,300,.261,918,.822,.210,.418
16,Miami Heat*,73,17745,.448,14.7,.565,.257,.159,.082,.068,.435,.525,.687,.415,.373,.352,.347,.535,.058,344,.242,875,.826,.229,.368
17,Milwaukee Bucks*,73,17595,.414,15.4,.582,.221,.150,.125,.085,.418,.457,.601,.334,.397,.387,.355,.497,.042,245,.235,737,.841,.202,.386
18,Minnesota Timberwolves,64,15560,.477,13.2,.647,.305,.163,.097,.082,.353,.539,.673,.395,.417,.474,.363,.488,.055,295,.309,993,.777,.187,.407
19,New Orleans Pelicans,72,17430,.465,13.2,.631,.319,.161,.082,.070,.369,.526,.654,.384,.390,.434,.361,.488,.063,373,.306,1087,.785,.209,.422
20,New York Knicks,66,15965,.463,14.3,.594,.279,.144,.092,.080,.406,.520,.666,.377,.418,.383,.381,.513,.063,324,.258,789,.804,.201,.415
21,Oklahoma City Thunder*,72,17430,.455,13.9,.629,.273,.178,.095,.084,.371,.523,.667,.407,.429,.406,.340,.472,.055,317,.293,1013,.803,.211,.354
22,Orlando Magic*,73,17570,.465,14.2,.613,.260,.172,.100,.082,.387,.529,.684,.381,.445,.445,.364,.509,.055,309,.273,935,.848,.200,.422
23,Philadelphia 76ers*,73,17595,.463,13.5,.658,.277,.173,.113,.094,.342,.520,.692,.392,.400,.395,.353,.500,.063,352,.274,953,.776,.159,.383
24,Phoenix Suns,73,17595,.472,13.4,.634,.311,.152,.089,.082,.366,.535,.660,.418,.401,.421,.363,.490,.060,353,.287,1017,.783,.204,.379
25,Portland Trail Blazers*,74,17835,.456,13.8,.614,.297,.156,.088,.072,.386,.501,.618,.381,.395,.410,.383,.494,.057,346,.272,960,.808,.214,.405
26,Sacramento Kings,72,17455,.471,14.1,.593,.275,.167,.085,.066,.407,.549,.708,.402,.436,.399,.357,.523,.058,325,.272,985,.830,.223,.378
27,San Antonio Spurs,71,17215,.469,14.0,.611,.282,.158,.094,.076,.389,.530,.665,.393,.420,.451,.373,.507,.060,343,.271,945,.831,.191,.401
28,Toronto Raptors*,72,17380,.428,14.7,.560,.261,.149,.091,.060,.440,.499,.624,.385,.409,.379,.337,.566,.046,251,.247,813,.884,.308,.365
29,Utah Jazz*,72,17355,.457,13.8,.652,.248,.191,.119,.094,.348,.512,.673,.398,.440,.409,.353,.439,.048,283,.265,934,.771,.167,.389
30,Washington Wizards,72,17355,.488,13.8,.625,.274,.182,.088,.080,.375,.555,.700,.445,.444,.431,.376,.495,.065,373,.291,1041,.806,.181,.424
